"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1786764264751210977","Sat May 04 14:26:11 +0000 2024","5616","ขึ้นอยู่กับศลปจะเล็งไปทางไหนของจริง ศลปที่ไม่ใช่แค่น้องแบมอะ แต่หมายถึงซึลกิด้วย 5555555555555555555555555555555 #ENCOREAREA52DAY #แบมแบมอินราชมัง @BamBam1A https://t.co/wFkInhW8zP","1786764264751210977","https://pbs.twimg.com/ext_tw_video_thumb/1786764142277451776/pu/img/XcloISuYRRcnpVRb.jpg","","th","BB97BB","50","11","8295","https://twitter.com/xChubbyLunax/status/1786764264751210977","181611859","xChubbyLunax"
"1786757511758188632","Sat May 04 13:59:21 +0000 2024","11122","seulgi was speaking korean and even if bambam was already off stage he was still the one translating for her LMFAO #ENCOREAREA52DAY #แบมแบมอินราชมัง https://t.co/JbG4ZpKWse","1786757511758188632","https://pbs.twimg.com/ext_tw_video_thumb/1786756885418524672/pu/img/m3lv1ffOKh0e5cmX.jpg","","en","","172","8","3234","https://twitter.com/GOT7isOT7/status/1786757511758188632","1418776842312372226","GOT7isOT7"
"1786752495643250918","Sat May 04 13:39:25 +0000 2024","4114","28 Reasons OMFG I m sorry bam I looked away for a moment #SEULGI @BamBam1A #뱀뱀 #BamBam #ENCOREAREA52DAY #แบมแบมอินราชมัง #BAMBAMENCOREAREA52INBKK https://t.co/drLQE1sqvb","1786752495643250918","https://pbs.twimg.com/ext_tw_video_thumb/1786751820376977408/pu/img/HK-Qsz0_dpqf4uKg.jpg","","en","","169","0","1890","https://twitter.com/pbjy0922/status/1786752495643250918","1096000068560113664","pbjy0922"
"1786748234335178855","Sat May 04 13:22:29 +0000 2024","11537","FINALLY!!! BamBam and Seulgi performing 'Who Are You' live! Love their matching outfit! #ENCOREAREA52DAY #แบมแบมอินราชมัง #BamBam #뱀뱀 @BamBam1A https://t.co/vE5nhXgNAj","1786748234335178855","https://pbs.twimg.com/ext_tw_video_thumb/1786746617250652160/pu/img/m7lKcbJSUKiO77SY.jpg","","en","🇵🇭","579","0","5250","https://twitter.com/cyjprint/status/1786748234335178855","1198447426392059905","cyjprint"
"1786764303103635744","Sat May 04 14:26:20 +0000 2024","1835","The crowd singing along to NANANA you really filled the stadium BamBam #ENCOREAREA52DAY #แบมแบมอินราชมัง #AREA52 @BamBam1A #BamBam @BAMBAMxABYSS @GOT7 #GOT7 https://t.co/MIjhA9pUui","1786764303103635744","https://pbs.twimg.com/ext_tw_video_thumb/1786760341244002304/pu/img/G5VwBZwsPNs1SWkd.jpg","","en","IG: ot7ahga","56","1","934","https://twitter.com/OT7Ahga/status/1786764303103635744","1202054194326331392","OT7Ahga"
"1786759149751288046","Sat May 04 14:05:52 +0000 2024","9713","น้องบอกว่า พี่มาร์ค พี่แจ็คสัน พี่จินยอง พี่ยองแจ ยูคยอม มักเน่คนนี้ทำได้แล้วนะครับ // ผมสัญญาครับขะทำทุกอย่างให้เกิดขึ้นกับคอนเสิร์ต GOT7 #แบมแบมอินราชมัง #ENCOREAREA52DAY https://t.co/h6rD03mKsW","1786759149751288046","https://pbs.twimg.com/ext_tw_video_thumb/1786759060785868800/pu/img/VdVDU8ms6BcED5SW.jpg","","th","ιη мαяк'ѕ нєαят","172","14","11459","https://twitter.com/mmuaynika/status/1786759149751288046","1267741789860925441","mmuaynika"
"1786764945688010969","Sat May 04 14:28:54 +0000 2024","8023","LMAOOO SEULGIS REACTION #ENCOREAREA52DAY #แบมแบมอินราชมัง https://t.co/22gcyx0utk","1786764945688010969","https://pbs.twimg.com/ext_tw_video_thumb/1786764742553694208/pu/img/UTAb0yxo9IDTPAdn.jpg","","en","","710","19","3906","https://twitter.com/kunpbam1a/status/1786764945688010969","1436788871338020868","kunpbam1a"
"1786756862899007779","Sat May 04 13:56:47 +0000 2024","1342","BamBam s encore or waterbomb can t tell the difference this looks so fun! #ENCOREAREA52DAY #แบมแบมอินราชมัง #AREA52 @BamBam1A #BamBam @BAMBAMxABYSS @GOT7 #GOT7 https://t.co/lqPmQ1U07T","1786756862899007779","https://pbs.twimg.com/ext_tw_video_thumb/1786755728474361856/pu/img/-JV2iyjL_Gswkeqq.jpg","","en","IG: ot7ahga","62","0","586","https://twitter.com/OT7Ahga/status/1786756862899007779","1202054194326331392","OT7Ahga"
"1786751154657124643","Sat May 04 13:34:06 +0000 2024","484","The 7 lights flickering and turning into 1 broke me @BamBam1A #뱀뱀 #BamBam #ENCOREAREA52DAY #แบมแบมอินราชมัง #BAMBAMENCOREAREA52INBKK https://t.co/E73earkz4J","1786751154657124643","https://pbs.twimg.com/ext_tw_video_thumb/1786750952751648768/pu/img/oRKuXtzcItSLetWV.jpg","","en","","6","0","192","https://twitter.com/pbjy0922/status/1786751154657124643","1096000068560113664","pbjy0922"
"1786762618817900623","Sat May 04 14:19:39 +0000 2024","985","The stage explosives for Hard Carry Hard Carry queen you will always be that song #ENCOREAREA52DAY #แบมแบมอินราชมัง #AREA52 @BamBam1A #BamBam @BAMBAMxABYSS @GOT7 #GOT7 https://t.co/gLP57PI8sH","1786762618817900623","https://pbs.twimg.com/ext_tw_video_thumb/1786761624168390656/pu/img/IDROg17eg8a3Mv0E.jpg","","en","IG: ot7ahga","37","0","491","https://twitter.com/OT7Ahga/status/1786762618817900623","1202054194326331392","OT7Ahga"
